Text,Output
"At the end of February we announced the arrival of the first US recession since 2009 and we predicted that the market will decline by at least 20% in ( Recession is Imminent: We Need A Travel Ban NOW ). In these volatile markets we scrutinize hedge fund filings to get a reading on which direction each stock might be going. In this article, we will take a closer look at hedge fund sentiment towards Microsoft Corporation (NASDAQ: MSFT ) and determine the smart money was really smart about this tech giant.
",0
"Is Microsoft Corporation (NASDAQ: MSFT ) a buy, sell, or hold? Investors who are in the know piled into Microsoft during the first quarter. The number of long hedge fund bets moved up by 46 lately. This kind of sentiment change rarely happens. Our calculations also showed that MSFT ranks #2 among the 30 most popular stocks among hedge funds (click for Q1 rankings and see the video for a quick look at the top 5 stocks). Video: Watch our video about the top 5 most popular hedge fund stocks.
",0
"At Insider Monkey we scour multiple sources to uncover the next great investment idea. There is a lot of volatility in the markets and this presents amazing investment opportunities from time to time. For example, this trader claims to deliver juiced up returns with one trade a week, so we are checking out his highest conviction idea . A second trader claims to score lucrative profits by utilizing a ""weekend trading strategy"", so we look into his strategy's picks . We read hedge fund investor letters and listen to stock pitches at hedge fund conferences. We recently recommended several stocks partly inspired by legendary Bill Miller's investor letter . Our best call in 2020 was shorting the market when the S&P 500 was trading at 3150 in February after realizing the coronavirus pandemicâs significance before most investors. Keeping this in mind we're going to take a glance at the recent hedge fund action regarding Microsoft Corporation (NASDAQ: MSFT ).
",0
"Heading into the second quarter of 2020, a total of 235 of the hedge funds tracked by Insider Monkey held long positions in this stock, a change of 24% from the fourth quarter of 2019. On the other hand, there were a total of 170 hedge funds with a bullish position in MSFT a year ago. So, let's find out which hedge funds were among the top holders of the stock and which hedge funds were making big moves.
",0
"The largest stake in Microsoft Corporation (NASDAQ:MSFT) was held by Fisher Asset Management, which reported holding $3383.9 million worth of stock at the end of September. It was followed by Eagle Capital Management with a $2325 million position. Other investors bullish on the company included Arrowstreet Capital, AQR Capital Management, and Tiger Global Management LLC. In terms of the portfolio weights assigned to each position Thrive Capital allocated the biggest weight to Microsoft Corporation (NASDAQ:MSFT), around 58.15% of its 13F portfolio. Joho Capital is also relatively very bullish on the stock, earmarking 30.16 percent of its 13F equity portfolio to MSFT.
",0
"As one would reasonably expect, some big names have been driving this bullishness. Melvin Capital Management, managed by Gabriel Plotkin, established the biggest position in Microsoft Corporation (NASDAQ:MSFT). Melvin Capital Management had $426.8 million invested in the company at the end of the quarter. Eric W. Mandelblatt and Gaurav Kapadia's Soroban Capital Partners also initiated a $412.2 million position during the quarter. The following funds were also among the new MSFT investors: Tim Hurd and Ed Magnus's BlueSpruce Investments , Daniel Sundheim's D1 Capital Partners, and William von Mueffling's Cantillon Capital Management .
",0
"Let's go over hedge fund activity in other stocks similar to Microsoft Corporation (NASDAQ:MSFT). We will take a look at Apple Inc. (NASDAQ: AAPL ), Amazon.com, Inc. (NASDAQ: AMZN ), Alphabet Inc (NASDAQ: GOOGL ), and Alphabet Inc (NASDAQ: GOOG ). This group of stocks' market valuations are closest to MSFT's market valuation.
",0
"As you can see these stocks had an average of 172 hedge funds with bullish positions and the average amount invested in these stocks was $33490 million. That figure was $31439 million in MSFT's case. Amazon.com, Inc. (NASDAQ: AMZN ) is the most popular stock in this table. On the other hand Apple Inc. (NASDAQ: AAPL ) is the least popular one with only 123 bullish hedge fund positions. Microsoft Corporation (NASDAQ:MSFT) is not the most popular stock in this group but hedge fund interest is still above average. Our calculations showed that top 10 most popular stocks among hedge funds returned 41.4% in 2019 and outperformed the S&P 500 ETF (SPY) by 10.1 percentage points. These stocks gained 13.3% in 2020 through June 25th but still beat the market by 16.8 percentage points. Hedge funds were also right about betting on MSFT as the stock returned 27.4% in Q2 (through June 25th) and outperformed the market. Hedge funds were rewarded for their relative bullishness.
",0
"Overall, the cloud-based solutions built on Microsoft Corporationâs (NASDAQ: MSFT ) Azure technology will help clients derive enhanced alpha-generating opportunities when managing assets.
",0
"Microsoft MSFT recently announced the launch of a new program aimed at equipping 25 million people around the world with the latest digital skills.
",0
"Meanwhile, looking into the back-half of 2020, Apple (NASDAQ: AAPL ) is going to launch the 5G iPhone, while Microsoft (NASDAQ: MSFT ) and Sony (NYSE: SNE ) are going to launch their next-generation gaming platforms. Naturally, these once-in-a-decade product launches will spark supercharged demand in the smartphone and gaming end-markets â two markets from which Micron derives a bunch of revenue.
",0
"Luke Lango is a Markets Analyst for InvestorPlace. He has been professionally analyzing stocks for several years, previously working at various hedge funds and currently running his own investment fund in San Diego. A Caltech graduate, Luke has consistently been recognized as one of the best stock pickers in the world by various other analysts and platforms, and has developed a reputation for leveraging his technology background to identify growth stocks that deliver outstanding returns. Luke is also the founder of Fantastic, a social discovery company backed by an LA-based internet venture firm. As of this writing, he was long MSFT.
",1
"The coronavirus, coupled with the momentum surrounding the Black Lives Matter movement, has illuminated the widening racial disparity in the U.S. As Linkedin ( MSFT ) principal economist Guy Berger said , âAt the beginning of this crisis, people claimed that COVID was going to be this great equalizer. But if anything, weâve seen it intensify inequalities in the U.S. economy.â Center for American Progress senior economist Gbenga Ajilore further highlighted on Twitter how racial inequities are as stark as ever.
",1
"Shares of Microsoft Corporation (NASDAQ: MSFT) increased another 11.1% in June, according to data provided by S&P Global Market Intelligence.  With investments in personal computers, cloud, and video games, Microsoft continued to excel even while people were sheltering at home during the coronavirus pandemic.  Microsoft has been so successful that it's closing physical retail locations for good.
",0
